place	year	type	number
ILDV	97	small	359
KSDV	99	small	1162
PTDV	99	small	389
CYDV	91	small	320
CHDV	99	insurance	3
PCDV	103	small	843
TCDV	94	small	1040
KSDV	95	small	2228
TYDV	101	summary	332
HLDV	94	small	327
TNDV	95	summary	219
TCDV	91	summary	571
KLDV	94	small	1321
TYDV	94	summary	1089
TNDV	91	small	54
KLDV	95	suit	239
ILDV	94	insurance	3
TCDV	93	summary	673
KSDV	97	summary	792
SLDV	101	summary	199
CYDV	93	small	877
TCDV	103	small	825
KLDV	101	small	1835
TYDV	92	small	59
ILDV	90	summary	240
TCDV	103	summary	1578
PCDV	102	small	2057
CYDV	100	small	162
HLDV	103	summary	267
SCDV	92	summary	278
TCDV	102	small	18
TYDV	91	summary	78
TNDV	100	small	1158
TTDV	103	small	124
TPDV	101	small	382
TCDV	103	summary	2190
TPDV	99	small	2559
TCDV	96	small	5696
NTDV	93	small	237
SLDV	103	small	341
SCDV	103	small	109
PTDV	99	small	370
TCDV	98	small	529
NTDV	103	small	533
CHDV	97	insurance	38
MLDV	100	small	409
HLDV	96	small	394
TNDV	93	small	935
NTDV	102	small	55
NTDV	91	summary	231
TYDV	96	summary	543
SCDV	101	summary	195
PTDV	91	small	112
CHDV	99	insurance	34
MLDV	100	small	4
KSDV	100	summary	346
SLDV	103	small	1326
CYDV	103	small	340
KMDV	103	summary	40
PCDV	99	small	2451
TPDV	94	small	2212
SCDV	103	summary	180
TYDV	90	small	592
KSDV	100	summary	787
TCDV	104	small	773
CHDV	103	summary	544
CHDV	93	suit	72
CHDV	90	suit	313
MLDV	91	summary	13
TPDV	99	small	2634
KSDV	102	summary	2669
TPDV	96	small	5264
TPDV	103	small	413
TPDV	103	small	816
TPDV	92	small	3509
PCDV	102	small	1586
TPDV	96	small	155
PCDV	103	small	1003
TPDV	102	small	749
KLDV	89	small	442
PCDV	98	small	1998
HLDV	101	summary	303
KLDV	97	small	633
PCDV	103	small	1052
TPDV	91	small	73
PCDV	102	small	2325
PTDV	99	summary	336
SCDV	96	small	201
TCDV	93	small	3918
SLDV	95	small	843
SLDV	99	summary	895
PCDV	101	small	2366
TTDV	89	small	70
SLDV	101	small	1322
TPDV	99	small	1022
KLDV	97	small	1190
SLDV	95	small	450
TYDV	93	small	480
TPDV	95	small	5381
TPDV	92	small	3289
KLDV	101	small	1748
TYDV	99	small	230
TCDV	101	small	137
NTDV	100	small	162
KSDV	100	small	2632
KLDV	96	summary	472
HLDV	98	small	532
CHDV	92	small	150
CHDV	93	summary	41
ULDV	93	small	60
TYDV	99	small	261
TCDV	102	small	1920
TPDV	99	small	961
TYDV	102	insurance	107
TCDV	97	small	370
TYDV	98	small	929
TPDV	99	small	659
TNDV	91	small	92
TPDV	95	small	561
TNDV	91	small	339
TYDV	97	insurance	11
TPDV	92	insurance	8
TYDV	95	insurance	43
SCDV	97	small	522
KSDV	97	insurance	28
KSDV	95	insurance	4
MLDV	96	small	1114
SCDV	99	small	56
TPDV	99	small	929
SLDV	98	small	1876
NTDV	103	small	363
KSDV	97	small	5953
TYDV	102	insurance	88
TCDV	90	small	207
TNDV	94	small	1566
HLDV	95	summary	428
TYDV	102	summary	883
SLDV	101	small	966
TCDV	91	small	141
TCDV	96	small	640
NTDV	103	summary	231
TNDV	96	small	1171
SLDV	103	small	341
TPDV	98	small	3082
TNDV	94	small	548
TCDV	102	small	487
TYDV	95	small	669
SLDV	97	small	1307
TPDV	103	small	866
TPDV	97	small	378
SLDV	95	small	417
TCDV	95	small	2287
KSDV	103	small	1327
SCDV	95	small	233
PTDV	97	small	524
TNDV	94	summary	1962
TCDV	95	small	2330
ILDV	102	small	186
TPDV	102	small	999
KSDV	94	insurance	26
ILDV	99	small	142
KSDV	102	small	2987
TCDV	98	small	1401
ULDV	94	small	23
PCDV	104	small	394
TNDV	93	small	219
SCDV	92	small	238
PTDV	91	small	35
TCDV	96	small	699
KSDV	90	summary	3755
TPDV	99	small	207
TPDV	102	small	1961
TPDV	96	small	205
NTDV	100	small	112
MLDV	102	small	248
CHDV	98	small	195
SLDV	100	small	569
NTDV	103	small	209
KSDV	93	insurance	28
TCDV	96	small	5230
TCDV	96	small	6212
SLDV	102	small	800
KSDV	90	small	2433
CHDV	98	small	654
PCDV	103	small	1692
TPDV	103	small	116
TCDV	94	small	241
SLDV	93	insurance	47
MLDV	91	small	16
CYDV	94	small	653
SLDV	102	small	875
SLDV	99	small	781
KSDV	97	summary	1564
TCDV	101	small	886
ILDV	93	small	148
TYDV	104	small	102
PCDV	99	small	221
PTDV	99	small	398
NTDV	101	small	76
CHDV	98	small	310
SLDV	101	small	551
KSDV	92	insurance	46
KSDV	102	summary	621
TCDV	103	small	547
TYDV	97	insurance	75
PCDV	100	small	1804
CHDV	103	small	444
TCDV	93	small	416
TCDV	94	small	2608
TYDV	93	small	156
TCDV	92	small	97
TCDV	91	small	2245
SLDV	102	small	621
TPDV	103	small	2234
TYDV	92	small	957
CYDV	95	small	905
TCDV	94	small	395
CHDV	101	summary	203
TCDV	97	small	1323
CYDV	95	summary	113
TCDV	90	small	356
SLDV	100	small	628
TCDV	103	small	1206
NTDV	103	small	102
TYDV	93	small	380
TCDV	96	small	6171
TPDV	98	small	1194
CYDV	90	summary	132
TTDV	101	summary	117
TNDV	96	small	160
CYDV	100	summary	508
TCDV	94	small	1522
TYDV	97	insurance	63
NTDV	96	small	113
MLDV	91	small	291
SCDV	90	small	323
CHDV	102	summary	422
KSDV	96	small	744
TNDV	95	small	2733
TNDV	92	small	410
TNDV	95	small	903
TYDV	91	small	602
TCDV	91	summary	215
NTDV	100	small	12
KSDV	92	small	188
PCDV	98	small	2361
TCDV	102	small	2186
SLDV	97	small	2547
NTDV	98	small	168
KSDV	92	small	1778
KSDV	99	small	3229
SLDV	95	small	2632
NTDV	103	small	465
TYDV	95	small	1974
TYDV	93	small	331
KLDV	93	small	228
TYDV	100	small	1047
KSDV	90	small	2523
TPDV	100	small	730
SCDV	102	summary	280
TYDV	92	small	1032
SCDV	90	small	203
NTDV	92	small	274
TCDV	102	small	2508
TCDV	99	small	1590
NTDV	101	small	299
TCDV	103	small	167
TYDV	93	small	1258
TPDV	102	small	815
TTDV	89	small	150
TCDV	95	small	51
NTDV	93	small	269
SCDV	90	small	51
PTDV	94	small	79
TCDV	104	summary	608
ILDV	96	small	523
PTDV	99	small	121
TPDV	99	small	498
TNDV	98	small	1635
CHDV	96	small	1296
CHDV	102	small	20
NTDV	101	summary	152
TYDV	98	small	1128
SLDV	96	small	3219
NTDV	103	summary	42
NTDV	94	small	393
SLDV	98	summary	1780
KSDV	96	insurance	22
TPDV	96	small	3996
TNDV	98	summary	696
SLDV	92	small	1432
SCDV	91	small	176
SLDV	100	small	36
KLDV	91	small	222
PCDV	99	small	2948
TCDV	99	small	594
TNDV	98	small	721
TCDV	102	small	1882
TPDV	100	small	715
ULDV	97	small	357
PCDV	103	small	642
KSDV	97	small	108
CHDV	96	insurance	42
TCDV	104	small	95
PCDV	101	small	1502
TPDV	96	small	2976
KLDV	102	small	615
PTDV	99	summary	279
KSDV	94	small	2036
TYDV	101	insurance	36
SCDV	101	small	153
SLDV	98	small	308
TPDV	103	small	852
TCDV	102	small	1458
KSDV	101	suit	2069
KSDV	99	insurance	26
PCDV	103	small	945
SLDV	102	small	841
PTDV	103	small	100
TPDV	104	small	45
KSDV	92	small	1572
CYDV	102	small	44
KSDV	102	small	815
TNDV	103	small	1034
KLDV	103	small	1689
PCDV	103	small	1244
TCDV	98	small	3534
SLDV	103	small	494
TTDV	100	small	80
TYDV	101	insurance	32
TPDV	101	small	2835
TCDV	103	small	1312
TPDV	103	small	778
TCDV	102	small	1630
PCDV	104	small	309
TPDV	103	small	2348
SLDV	99	small	1643
SLDV	98	small	697
TCDV	103	small	367
SLDV	100	small	213
SCDV	98	small	108
TCDV	104	small	145
SLDV	102	small	662
MLDV	103	small	386
TPDV	102	small	516
TNDV	103	summary	832
TNDV	103	summary	1210
TNDV	93	small	705
PCDV	100	small	1772
PCDV	104	small	760
TPDV	100	small	1658
KSDV	99	small	3426
TNDV	102	suit	1583
PCDV	102	summary	1026
PCDV	94	small	1023
TPDV	104	small	132
PCDV	104	small	769
ILDV	103	small	105
TCDV	98	small	2522
TPDV	101	small	995
KSDV	102	small	7
MLDV	102	summary	28
KSDV	100	small	176
SCDV	102	small	82
TPDV	101	small	2182
KSDV	103	small	948
SLDV	94	small	890
SLDV	103	small	1000
SLDV	101	small	267
NTDV	97	small	782
KLDV	98	small	231
KSDV	101	small	408
PCDV	104	small	52
TPDV	99	small	1546
TCDV	103	small	1203
KSDV	99	summary	567
TPDV	102	small	463
PCDV	102	small	2291
TPDV	95	small	1400
TPDV	103	small	524
PCDV	103	small	705
CYDV	94	summary	669
KSDV	103	small	388
SLDV	100	small	115
TCDV	92	small	306
PTDV	103	small	322
KSDV	101	small	906
NTDV	104	small	90
KLDV	96	small	2049
NTDV	103	small	544
KSDV	102	small	810
SLDV	103	small	234
PCDV	102	small	2696
SLDV	103	small	347
KLDV	95	summary	219
TNDV	92	suit	138
TPDV	98	small	6
CHDV	103	small	321
TCDV	95	small	6001
KSDV	96	summary	1578
SLDV	97	small	1391
TYDV	102	small	728
TPDV	101	small	2324
PCDV	102	small	400
TPDV	101	small	1911
SLDV	103	small	760
PCDV	100	small	1771
KSDV	103	small	35
SLDV	97	small	979
KSDV	103	suit	596
TPDV	103	summary	3016
PCDV	104	small	483
PCDV	101	summary	363
PCDV	102	small	2298
KSDV	102	summary	279
SCDV	103	summary	289
TCDV	101	small	2428
TPDV	102	summary	1213
TPDV	98	small	2239
SLDV	101	small	549
KSDV	103	small	412
SCDV	102	summary	129
TPDV	98	small	2408
PCDV	101	small	592
SLDV	99	small	1103
TYDV	103	insurance	128
TNDV	95	summary	1639
PTDV	102	summary	495
PCDV	103	small	2163
TCDV	101	summary	2462
TYDV	95	small	1734
SLDV	99	small	782
KSDV	99	summary	2495
CYDV	99	small	98
TNDV	101	summary	1265
KSDV	103	small	2570
TPDV	100	small	923
SLDV	100	summary	769
TCDV	102	small	2262
PCDV	101	summary	429
TPDV	102	small	293
TPDV	103	small	79
TPDV	93	small	2245
SLDV	101	small	408
TPDV	103	small	1691
TCDV	103	small	1987
SCDV	102	small	32
TPDV	98	small	340
PCDV	101	small	815
NTDV	102	small	185
TPDV	102	small	406
CYDV	103	small	103
TPDV	97	small	1142
PCDV	101	small	1272
ILDV	102	summary	113
PTDV	102	summary	353
KSDV	101	summary	38
SCDV	98	small	58
SCDV	95	small	131
SLDV	96	small	899
PCDV	100	small	1775
TPDV	100	small	1910
TCDV	99	small	105
SLDV	90	suit	1506
NTDV	95	small	495
CYDV	102	small	41
KSDV	100	summary	918
TYDV	102	insurance	24
KSDV	97	insurance	2
SLDV	103	small	986
TCDV	102	summary	1135
TNDV	103	summary	1012
ILDV	99	small	121
CYDV	93	small	815
PTDV	103	small	81
TNDV	102	small	819
CHDV	102	small	17
CYDV	95	suit	581
TPDV	103	small	1476
TYDV	95	summary	1028
TNDV	102	small	410
KSDV	103	small	607
PTDV	102	small	367
TCDV	101	summary	3323
SLDV	103	small	1241
TYDV	97	insurance	14
TCDV	103	small	1130
TCDV	103	small	1877
TCDV	102	small	1445
KSDV	102	small	45
KSDV	99	small	3067
KSDV	104	small	1017
KSDV	96	summary	7706
TCDV	99	small	796
TCDV	102	small	2922
TCDV	97	summary	4539
TNDV	103	small	154
PCDV	100	summary	835
KSDV	102	small	137
ULDV	98	small	173
PCDV	103	small	2785
PCDV	99	small	2337
SLDV	103	small	707
TNDV	103	summary	340
SLDV	99	small	1102
PCDV	99	suit	2677
KSDV	103	small	521
TCDV	98	small	3199
TCDV	102	small	1865
SLDV	101	small	507
CHDV	103	suit	612
TCDV	99	small	2587
HLDV	94	suit	89
KSDV	102	small	919
KSDV	93	suit	961
SLDV	104	small	219
ILDV	103	small	64
TCDV	103	small	1477
KSDV	103	small	2569
SLDV	102	small	692
SLDV	101	small	887
SLDV	104	small	7
PCDV	101	summary	1067
KSDV	98	summary	551
TPDV	104	small	116
TPDV	100	insurance	7
TPDV	98	small	1798
KSDV	98	small	2658
KSDV	101	small	2564
KLDV	101	summary	785
TCDV	95	small	1655
SLDV	102	small	647
PCDV	102	small	360
PCDV	95	summary	1308
SLDV	99	small	498
NTDV	101	summary	11
SLDV	103	small	1221
KLDV	103	small	898
TCDV	97	summary	4244
TPDV	99	insurance	8
TCDV	103	summary	2056
SCDV	101	small	254
TCDV	103	small	169
TPDV	100	small	258
TCDV	90	small	311
TPDV	104	small	816
ILDV	98	small	322
KSDV	102	small	1496
NTDV	103	small	534
SCDV	101	summary	283
CHDV	101	small	457
KSDV	101	small	2704
TPDV	92	suit	4048
TCDV	103	summary	191
TPDV	103	small	489
SLDV	97	small	1613
SCDV	100	suit	346
CYDV	103	summary	375
SLDV	103	small	146
KSDV	102	small	1098
NTDV	103	summary	204
TPDV	96	small	5211
KSDV	102	summary	1454
TPDV	99	summary	16967
TCDV	92	small	2458
TNDV	98	small	223
KSDV	103	summary	2094
CYDV	102	summary	252
CYDV	93	summary	465
TCDV	100	summary	345
ILDV	94	summary	133
SLDV	103	small	637
PCDV	94	small	627
TNDV	101	small	816
PCDV	102	small	279
TPDV	102	small	416
SCDV	103	small	225
PCDV	102	small	621
SLDV	102	small	231
PCDV	102	small	1221
SLDV	100	small	290
TCDV	103	small	1926
TCDV	103	small	41
SLDV	104	small	513
TCDV	102	small	2273
TPDV	98	small	3409
KSDV	102	small	2398
PCDV	101	small	1891
SCDV	101	small	85
NTDV	102	small	17
PCDV	104	small	433
CYDV	93	small	508
SCDV	100	small	184
TPDV	98	small	2804
KSDV	100	small	689
TCDV	101	small	148
TPDV	102	small	1394
TNDV	103	small	1082
KSDV	103	small	1062
NTDV	94	small	227
TPDV	100	small	1476
CHDV	93	summary	453
TCDV	100	small	1276
TYDV	103	insurance	150
TCDV	104	small	677
NTDV	102	small	305
NTDV	103	small	43
TPDV	97	small	3074
PCDV	104	small	85
CHDV	99	insurance	14
TCDV	102	small	324
TCDV	102	small	2265
ILDV	101	small	52
TCDV	103	small	2034
TPDV	101	small	1876
TCDV	100	small	2628
SCDV	103	small	180
ILDV	96	small	300
TCDV	103	small	1104
CHDV	104	small	8
TNDV	101	small	639
CHDV	97	small	225
TCDV	102	small	247
TNDV	102	small	313
TPDV	103	summary	13812
PCDV	103	small	1903
CYDV	103	small	139
TPDV	102	small	1633
TCDV	102	small	2183
KSDV	101	small	2524
TCDV	100	small	494
KSDV	100	small	2279
SLDV	93	insurance	34
TCDV	103	small	1588
SLDV	102	small	670
TCDV	99	small	155
TNDV	103	small	421
SLDV	102	small	63
KSDV	103	small	51
SCDV	97	small	419
TNDV	103	small	306
SCDV	95	small	205
TCDV	102	small	2767
TNDV	104	small	82
TCDV	98	small	3065
SLDV	103	small	933
PCDV	100	small	1860
PTDV	100	small	155
TPDV	100	small	33
TPDV	100	small	750
TYDV	103	insurance	12
TNDV	101	small	384
SCDV	104	small	43
PCDV	102	small	90
TCDV	102	small	1685
TPDV	98	small	681
PTDV	102	small	116
TPDV	102	small	1807
CYDV	102	small	471
KSDV	96	small	8688
KSDV	102	small	299
TPDV	103	small	3266
TCDV	104	small	1140
KSDV	103	small	442
CYDV	102	small	158
SCDV	101	small	274
TNDV	102	small	1316
KLDV	101	small	460
KSDV	99	small	1604
CHDV	102	small	403
TCDV	98	small	921
TPDV	102	small	1824
PCDV	99	small	1940
KSDV	103	small	2063
SLDV	103	small	314
TCDV	92	small	1919
KSDV	104	small	402
PCDV	102	small	874
SCDV	104	small	51
TPDV	104	small	482
KSDV	102	small	2544
TCDV	101	small	885
KSDV	103	small	557
TYDV	95	small	211
PCDV	103	small	2193
TNDV	102	small	42
SLDV	104	small	300
CHDV	103	small	132
SLDV	101	small	54
TPDV	102	small	1026
KSDV	101	small	1333
TPDV	103	small	810
TCDV	99	small	634
TCDV	101	small	1611
KSDV	103	small	714
SLDV	96	small	1877
TCDV	89	small	1777
SLDV	103	small	1018
PCDV	103	small	2631
KLDV	103	small	142
TPDV	102	small	220
SLDV	101	small	53
SLDV	102	small	1418
CHDV	101	small	20
TCDV	103	small	303
PCDV	103	small	619
CHDV	103	small	209
TPDV	102	small	619
TYDV	99	insurance	76
TYDV	103	insurance	121
TPDV	96	small	274
SLDV	101	small	365
TCDV	103	small	975
PCDV	101	small	2025
TCDV	98	small	2159
SCDV	100	small	197
TCDV	100	small	2532
KSDV	103	small	936
CHDV	102	small	465
CHDV	99	insurance	29
SLDV	99	small	1102
TPDV	103	small	147
TPDV	104	small	500
PCDV	97	small	2491
TTDV	102	small	10
PCDV	101	small	751
KSDV	104	small	72
KSDV	102	small	250
PCDV	103	small	88
KSDV	95	small	3128
TPDV	102	insurance	16
TYDV	99	insurance	48
TPDV	103	small	2863
SLDV	101	summary	112
SLDV	98	small	350
TCDV	103	small	2594
SCDV	102	small	304
TYDV	103	small	873
HLDV	104	small	14
CHDV	97	insurance	47
KSDV	99	small	173
CHDV	102	small	238
SCDV	101	small	142
PCDV	100	small	725
TPDV	103	small	2011
PCDV	103	small	197
SCDV	102	small	214
CHDV	101	small	401
PCDV	102	small	2754
PCDV	103	small	2575
SLDV	102	small	1221
TNDV	104	small	14
KSDV	104	small	88
CHDV	104	small	92
TYDV	104	insurance	25
PCDV	103	small	2723
TNDV	98	small	1018
TPDV	101	small	1449
TCDV	102	small	2319
SCDV	92	small	233
CYDV	103	small	74
TPDV	93	small	914
TTDV	103	small	3
SLDV	101	small	825
KSDV	91	summary	479
PCDV	102	small	2201
TPDV	103	small	1564
SCDV	102	small	33
PCDV	100	small	271
KSDV	102	small	374
SLDV	96	small	646
SLDV	100	small	39
KLDV	102	small	655
HLDV	90	small	73
PCDV	100	small	577
TPDV	103	small	3029
PCDV	101	small	1200
KSDV	103	small	245
NTDV	97	small	101
TYDV	99	small	19
CHDV	101	small	123
KSDV	99	small	187
SLDV	102	small	119
TCDV	98	small	1713
TCDV	102	small	1686
NTDV	102	small	145
TPDV	97	small	2783
TPDV	102	small	1298
TPDV	100	small	851
SLDV	97	small	2463
ILDV	99	small	261
TPDV	103	small	906
ILDV	102	small	164
TPDV	93	small	2684
TPDV	99	small	2431
TPDV	104	small	179
SCDV	102	small	404
ILDV	99	small	195
SCDV	95	small	107
TCDV	101	small	2648
SLDV	104	small	400
CYDV	103	small	101
TNDV	100	small	861
TYDV	103	insurance	2
ILDV	95	small	401
TPDV	103	small	2322
KSDV	103	small	124
TNDV	102	small	970
TPDV	102	small	1041
TPDV	102	small	993
SLDV	103	small	1236
SCDV	103	small	96
TPDV	97	small	963
TPDV	103	small	1240
CHDV	101	small	285
CYDV	103	small	521
PCDV	103	small	1144
SCDV	101	small	80
HLDV	100	small	282
PTDV	98	small	680
TCDV	103	small	1577
SCDV	103	small	431
SLDV	103	small	569
PTDV	90	small	162
TPDV	99	small	858
TCDV	103	small	352
SCDV	101	small	76
TCDV	96	small	4786
NTDV	103	small	166
TPDV	101	small	43
PCDV	100	small	799
PTDV	102	small	245
TCDV	100	small	1854
TCDV	101	small	2534
TPDV	100	small	2492
TCDV	100	small	1827
SLDV	103	small	1139
SCDV	100	summary	240
KSDV	103	small	33
SCDV	98	small	232
SLDV	103	small	41
TPDV	92	small	434
NTDV	104	small	36
TCDV	103	small	2980
TPDV	103	small	1718
SCDV	103	small	82
KLDV	101	small	1059
TCDV	94	small	1982
TYDV	99	summary	1225
TPDV	99	small	2492
TPDV	102	small	204
CYDV	102	summary	169
KSDV	99	small	427
TPDV	103	small	1533
NTDV	98	small	13
TYDV	100	small	575
SLDV	103	summary	626
TPDV	103	small	302
TYDV	100	insurance	69
KSDV	100	small	712
TCDV	102	small	2940
TYDV	101	summary	150
PCDV	104	small	431
ILDV	103	small	59
PCDV	103	summary	1289
ILDV	95	summary	235
TCDV	103	small	50
PCDV	103	suit	1308
TCDV	103	small	88
TPDV	103	small	544
TYDV	101	small	485
TCDV	91	small	845
SCDV	103	summary	260
TPDV	95	small	572
TPDV	97	small	3441
SLDV	102	small	1244
KSDV	99	small	2443
TYDV	98	insurance	64
SCDV	103	small	298
TYDV	103	small	27
SLDV	103	small	91
TCDV	101	small	883
SCDV	92	small	172
CHDV	99	small	200
TPDV	103	small	146
KLDV	95	small	1165
CHDV	103	small	271
PCDV	101	small	1880
ILDV	102	small	151
TPDV	97	small	48
PCDV	101	small	592
PCDV	98	small	2879
CYDV	93	small	5
TCDV	102	small	2154
TNDV	103	summary	185
TPDV	101	small	709
TPDV	101	small	891
TCDV	103	small	1023
TPDV	103	small	1093
CHDV	101	summary	251
PCDV	103	small	2247
PTDV	91	summary	252
PCDV	100	small	1756
TCDV	102	small	2670
TPDV	101	small	1823
NTDV	103	small	434
CHDV	100	summary	102
TYDV	99	small	479
KSDV	100	suit	553
TCDV	102	small	2949
TYDV	102	small	623
PCDV	99	small	2097
PCDV	101	small	385
CHDV	100	small	109
TYDV	97	summary	883
SLDV	101	summary	227
SCDV	104	small	179
PCDV	99	small	2259
SCDV	96	small	526
CHDV	100	summary	192
CHDV	103	small	497
TPDV	104	small	172
PCDV	103	small	1562
TPDV	101	small	504
TCDV	101	small	730
KSDV	100	summary	762
TPDV	99	small	968
SCDV	102	summary	449
PCDV	104	summary	349
PCDV	101	small	2448
CYDV	100	suit	586
TNDV	103	small	513
PCDV	103	summary	1037
PCDV	101	small	1666
PCDV	102	small	1864
TPDV	100	small	2305
PCDV	102	small	743
SCDV	100	small	191
TCDV	92	suit	3356
KSDV	102	summary	1901
TPDV	92	suit	1755
PCDV	103	summary	2251
TCDV	103	summary	1602
SCDV	100	small	272
TPDV	100	suit	3497
TNDV	103	summary	1266
SCDV	98	summary	292
KSDV	101	small	381
PTDV	95	small	1316
PCDV	103	suit	2904
CYDV	102	summary	154
PCDV	102	small	1164
TNDV	103	suit	549
SLDV	99	summary	465
KLDV	92	small	67
PCDV	103	small	914
SLDV	99	small	842
TPDV	94	small	1395
KSDV	99	small	581
TPDV	103	small	2824
SLDV	103	small	1201
PCDV	104	small	725
SLDV	94	small	643
TPDV	95	small	173
TPDV	98	small	1792
TPDV	99	small	1944
PCDV	102	small	2561
TPDV	103	small	1717
TPDV	101	small	1728
TPDV	103	small	2688
SLDV	101	small	245
TPDV	103	small	1032
TPDV	101	small	1721
TTDV	98	small	257
TCDV	102	small	1663
TPDV	101	small	1049
TPDV	103	small	567
TPDV	92	small	1351
NTDV	103	small	257
KLDV	99	summary	907
TPDV	100	small	1032
TCDV	101	summary	1833
CHDV	103	small	244
TCDV	96	small	875
TPDV	103	small	180
KSDV	103	small	890
TCDV	99	small	221
TPDV	100	small	2000
TPDV	103	small	1924
TPDV	101	small	1164
KSDV	102	small	273
SLDV	102	small	685
TPDV	101	small	267
TPDV	104	small	1053
TCDV	104	small	385
TPDV	101	small	17
TPDV	100	small	1117
TPDV	101	small	2418
PCDV	103	small	1446
TCDV	103	small	1590
SLDV	103	small	1529
TCDV	103	small	2160
KSDV	104	small	164
KSDV	104	small	565
SCDV	104	small	82
TCDV	103	small	77
CYDV	102	small	110
SCDV	104	small	111
TCDV	103	small	1572
KSDV	103	small	49
TPDV	101	small	307
NTDV	103	small	370
TPDV	101	small	734
TPDV	100	small	2313
KSDV	103	small	806
TPDV	100	small	581
SLDV	101	small	639
TPDV	103	small	2508
TPDV	103	small	127
TPDV	103	small	227
KLDV	96	small	2801
SLDV	96	small	276
TPDV	91	insurance	105
TPDV	96	small	2878
TPDV	103	small	52
TPDV	102	small	1060
TPDV	97	small	1243
TPDV	103	small	1715
SLDV	100	small	1427
SLDV	100	small	568
TPDV	101	small	567
KSDV	100	small	2645
TPDV	102	small	1859
TCDV	97	small	4334
PCDV	102	small	1049
TPDV	96	small	2483
SLDV	100	small	1333
KSDV	95	suit	1803
SLDV	96	small	2358
TPDV	95	summary	4395
KSDV	100	small	1362
TPDV	100	small	579
SLDV	98	small	1727
TPDV	93	small	918
SLDV	100	small	1336
SLDV	95	small	261
TPDV	103	small	2542
TPDV	103	small	691
PCDV	96	small	478
TPDV	94	small	2645
SLDV	98	small	62
SLDV	101	small	810
TPDV	101	small	1031
TPDV	103	small	2957
TPDV	93	suit	1119
SLDV	103	small	519
TPDV	92	insurance	76
TPDV	103	small	2886
TPDV	102	small	1499
TPDV	99	small	24
TCDV	93	small	962
SLDV	104	small	83
SLDV	102	summary	994
TPDV	95	small	4677
SLDV	101	small	568
TPDV	94	small	769
SLDV	99	small	650
SLDV	101	small	123
TPDV	99	small	313
TPDV	95	small	1145
TNDV	97	small	1724
TPDV	102	summary	14715
PCDV	99	small	528
TYDV	94	summary	1206
PCDV	103	small	297
TPDV	104	small	5
TPDV	103	small	1964
TPDV	91	small	23
KSDV	99	insurance	14
TPDV	101	small	227
SLDV	95	small	2890
KSDV	101	summary	470
PCDV	99	small	848
TCDV	100	summary	2177
TPDV	100	small	462
TPDV	103	small	3211
TPDV	98	small	1814
TPDV	98	suit	138
TPDV	90	insurance	19
PCDV	101	small	1495
TPDV	101	small	373
TPDV	104	small	726
PCDV	102	small	148
SLDV	94	small	1477
TPDV	103	small	808
SLDV	103	small	584
TPDV	104	small	689
PCDV	101	small	1440
KSDV	103	small	242
PCDV	100	small	1943
TPDV	93	insurance	74
TCDV	102	small	2792
SLDV	102	small	1484
SLDV	103	small	80
TPDV	99	small	1327
PCDV	93	insurance	30
MLDV	103	summary	490
SLDV	102	small	541
TPDV	102	small	4
TPDV	100	small	298
PCDV	94	small	134
SLDV	99	small	922
TPDV	101	small	2584
TPDV	101	small	2427
TPDV	102	small	903
SCDV	103	small	292
TPDV	102	insurance	12
PCDV	98	suit	1881
TPDV	98	small	671
TPDV	99	small	2021
TPDV	100	small	2389
SLDV	103	small	295
TPDV	99	small	2509
TPDV	103	small	2864
TPDV	97	small	345
SLDV	101	small	220
TPDV	103	small	1732
SLDV	103	small	663
TPDV	103	small	203
TPDV	101	summary	15925
TPDV	99	small	2652
TPDV	93	small	2331
TPDV	99	small	1941
SLDV	102	small	726
TPDV	98	small	2455
TPDV	103	summary	2800
SCDV	102	small	428
TCDV	103	small	92
SLDV	98	small	1460
SLDV	102	small	385
TPDV	104	small	31
SLDV	95	small	643
TCDV	94	small	69
TPDV	93	small	1745
PCDV	94	small	1222
SLDV	97	small	1799
SLDV	100	small	636
TPDV	97	small	1082
PCDV	90	insurance	35
SLDV	100	suit	1193
PCDV	99	summary	2087
TCDV	95	small	910
TPDV	91	small	2449
SLDV	103	small	587
SLDV	104	small	587
PCDV	101	small	1496
SLDV	102	small	573
TPDV	96	small	2989
TPDV	103	suit	947
TPDV	99	summary	18526
TCDV	92	small	208
SLDV	102	small	893
PCDV	99	small	1140
TPDV	97	summary	43791
KSDV	90	summary	3706
SLDV	99	summary	798
TPDV	98	small	2816
ULDV	93	small	145
PCDV	103	small	1659
TPDV	98	small	657
TPDV	100	small	1870
PCDV	102	small	923
SLDV	96	small	67
KSDV	103	small	226
KSDV	90	small	115
TPDV	103	small	215
SLDV	100	small	1428
TPDV	93	small	2161
TPDV	97	small	1494
SLDV	99	small	478
SCDV	96	small	479
TPDV	91	insurance	19
TPDV	102	small	830
TPDV	95	small	2298
TPDV	104	summary	105
CHDV	99	insurance	33
TPDV	102	small	1232
TPDV	103	summary	9737
KSDV	91	small	2616
TPDV	94	small	844
TPDV	98	suit	6312
PCDV	102	small	2320
TPDV	98	small	3285
TCDV	100	small	150
TPDV	99	small	2985
TPDV	99	small	171
KLDV	93	small	658
TPDV	93	small	2448
TPDV	97	small	342
TPDV	101	small	116
TPDV	103	small	1847
TYDV	92	small	241
TPDV	104	small	694
TPDV	96	small	619
PCDV	104	small	558
PCDV	103	small	868
