place	year	type	number
TCDV	102	summary	3040
TPDV	95	small	4449
KSDV	103	suit	704
PCDV	101	summary	803
TTDV	93	suit	15
TTDV	103	summary	322
MLDV	101	suit	173
CYDV	97	summary	202
TYDV	103	suit	249
PCDV	98	suit	30
TNDV	92	suit	410
KSDV	93	suit	593
TNDV	101	suit	24
KSDV	97	suit	1253
KSDV	103	suit	2021
KSDV	97	suit	1539
TPDV	102	summary	132
TCDV	89	suit	1237
MLDV	93	suit	249
SCDV	96	suit	60
TYDV	100	suit	208
CHDV	94	suit	245
TYDV	103	suit	1879
TYDV	94	insurance	24
KSDV	97	suit	30
TPDV	90	suit	4535
PTDV	90	summary	225
PCDV	95	suit	2366
PCDV	100	suit	773
ILDV	97	suit	305
CYDV	93	summary	840
TTDV	96	suit	95
TCDV	98	suit	3107
TCDV	95	suit	2245
TCDV	100	summary	2483
PCDV	102	summary	1312
KSDV	102	suit	366
TYDV	90	suit	739
HLDV	96	suit	19
HLDV	94	summary	8
PCDV	101	suit	52
PCDV	102	suit	98
PCDV	99	summary	53
SLDV	95	insurance	13
PCDV	94	summary	1443
PTDV	95	summary	735
TYDV	97	suit	518
TYDV	95	suit	1600
TPDV	99	suit	387
TPDV	99	suit	989
TNDV	102	suit	337
TNDV	103	summary	795
KSDV	100	suit	1554
TPDV	98	suit	1727
TCDV	94	suit	220
SLDV	99	suit	12
ULDV	92	suit	421
CYDV	95	suit	436
TPDV	102	summary	1215
TPDV	98	suit	1285
TNDV	101	suit	1473
PCDV	99	suit	929
KSDV	92	suit	3177
TCDV	101	summary	2487
TCDV	98	suit	158
CHDV	92	suit	688
KSDV	99	suit	841
KSDV	101	suit	818
KSDV	101	suit	236
CHDV	90	suit	494
PCDV	94	suit	272
KSDV	98	suit	355
KSDV	100	suit	59
TYDV	99	suit	175
TCDV	102	suit	608
PCDV	97	suit	911
TPDV	97	suit	2656
TCDV	93	suit	183
PCDV	99	suit	151
TCDV	98	suit	932
TTDV	103	summary	290
TNDV	101	summary	1334
TYDV	95	insurance	4
PCDV	98	suit	2056
SCDV	96	suit	17
TCDV	96	suit	166
TCDV	103	summary	2767
TNDV	98	suit	1199
TCDV	99	suit	86
CHDV	101	summary	170
PCDV	96	suit	520
TCDV	93	suit	2091
KSDV	97	suit	487
TCDV	89	suit	1665
NTDV	92	suit	742
TPDV	93	suit	4772
KSDV	88	suit	1536
TNDV	95	suit	316
KSDV	92	suit	1095
TNDV	94	suit	294
TNDV	102	suit	473
KSDV	102	suit	921
TYDV	93	suit	1614
CYDV	92	suit	165
ULDV	99	suit	319
TNDV	89	suit	1734
TCDV	101	suit	1083
PCDV	99	suit	1437
MLDV	94	suit	73
TNDV	95	suit	1526
TYDV	95	suit	340
ULDV	97	suit	319
ILDV	100	suit	369
TYDV	92	suit	1227
SLDV	95	suit	285
TYDV	99	suit	2064
TCDV	92	suit	1040
KSDV	92	suit	2461
PCDV	98	suit	2483
TYDV	102	suit	1661
KSDV	94	suit	1748
TCDV	102	suit	1010
KSDV	103	small	2151
KSDV	103	small	2254
KSDV	103	small	1523
KSDV	103	small	284
KSDV	103	small	592
PCDV	97	suit	848
PCDV	101	suit	1120
TPDV	100	suit	3933
KSDV	104	suit	682
TYDV	102	summary	120
TYDV	102	suit	1533
KSDV	101	suit	455
TYDV	98	suit	81
PCDV	93	suit	1642
KSDV	95	suit	1666
CHDV	102	suit	432
TYDV	92	suit	1685
TTDV	102	suit	90
PTDV	93	suit	47
TYDV	95	suit	954
PTDV	98	suit	65
KSDV	95	summary	814
KSDV	98	suit	1722
TYDV	98	small	1695
CYDV	93	suit	552
KSDV	93	suit	543
TNDV	89	suit	159
PCDV	98	suit	88
ULDV	94	suit	41
TYDV	101	suit	2108
TYDV	102	suit	500
PCDV	94	summary	2111
TCDV	95	suit	490
PCDV	101	suit	2781
KSDV	102	suit	1756
TCDV	93	small	1207
TCDV	91	summary	2362
KSDV	100	suit	1733
MLDV	101	summary	480
CYDV	97	suit	765
KSDV	97	suit	273
PCDV	102	suit	206
MLDV	99	suit	245
CYDV	94	suit	123
CYDV	92	suit	416
PCDV	101	suit	1402
ILDV	98	suit	206
SCDV	89	summary	417
TPDV	92	suit	2701
TPDV	101	suit	3563
PCDV	94	suit	775
SCDV	100	suit	589
SCDV	95	suit	33
TPDV	99	suit	236
TPDV	100	insurance	107
KLDV	102	summary	1085
CHDV	103	suit	126
CYDV	93	suit	38
TYDV	102	summary	224
PTDV	103	suit	49
SCDV	91	summary	48
PCDV	91	suit	2295
KLDV	102	suit	326
TCDV	97	suit	247
CHDV	90	suit	1260
NTDV	96	suit	35
TPDV	101	suit	577
TCDV	93	suit	2473
TPDV	92	suit	203
TCDV	104	small	721
TCDV	103	suit	886
TCDV	103	suit	44
PTDV	97	suit	607
PTDV	100	suit	579
TPDV	102	summary	964
ULDV	92	suit	616
TNDV	100	summary	64
SCDV	104	summary	138
KLDV	101	summary	243
TNDV	99	suit	437
TNDV	93	summary	764
CYDV	92	suit	76
PCDV	92	suit	1034
TYDV	91	suit	2006
PCDV	103	summary	595
PCDV	103	summary	59
TCDV	99	small	481
